City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
185,San Lorenzo,PY,2021-09-24 15:29:01,-25.3333,-57.5333,77.94,41,0,10.0
186,Rudsar,IR,2021-09-24 15:29:01,37.1376,50.288,77.05,81,1,3.87
187,Teguise,ES,2021-09-24 15:29:02,29.0605,-13.564,79.02,44,20,11.5
188,Shelopugino,RU,2021-09-24 15:29:02,51.6514,117.5599,42.3,72,99,2.95
189,Pevek,RU,2021-09-24 15:29:03,69.7008,170.3133,27.97,78,100,9.82
190,Caravelas,BR,2021-09-24 15:29:03,-17.7125,-39.2481,77.47,48,67,9.51
191,Sinnamary,GF,2021-09-24 15:29:03,5.3833,-52.95,86.74,65,94,8.21
192,Grand Gaube,MU,2021-09-24 15:29:04,-20.0064,57.6608,72.37,73,0,11.99
193,Kirakira,SB,2021-09-24 15:25:11,-10.4544,161.9205,77.7,86,47,7.23
194,Brae,GB,2021-09-24 15:29:04,60.3964,-1.353,53.51,79,76,28.05
195,Viesca,MX,2021-09-24 15:29:05,25.35,-102.8,74.23,45,68,2.89
196,Alta,NO,2021-09-24 15:29:05,69.9689,23.2717,47.46,66,75,11.5
197,Lata,PT,2021-09-24 15:29:05,40.1629,-8.3327,78.04,54,15,7.67
198,Katsuura,JP,2021-09-24 15:29:06,35.1333,140.3,77.14,77,100,11.3
199,Bukachacha,RU,2021-09-24 15:29:06,52.9833,116.9167,40.23,88,62,2.8
200,Provideniya,RU,2021-09-24 15:29:07,64.3833,-173.3,34.18,93,100,19.24
201,Igurubi,TZ,2021-09-24 15:29:07,-4.0,33.7,81.55,36,100,14.52
202,Apartado,CO,2021-09-24 15:29:07,7.883,-76.6259,78.24,87,100,1.59
203,Bandarbeyla,SO,2021-09-24 15:29:08,9.4942,50.8122,83.8,58,99,26.17
204,Zhezkazgan,KZ,2021-09-24 15:29:08,47.8043,67.7144,52.97,24,45,16.15
205,Saint-Philippe,RE,2021-09-24 15:29:08,-21.3585,55.7679,72.99,83,49,12.59
206,Naze,JP,2021-09-24 15:29:09,28.3667,129.4833,76.91,64,31,10.36
207,Beringovskiy,RU,2021-09-24 15:29:10,63.05,179.3167,32.31,95,100,28.61
208,Ahipara,NZ,2021-09-24 15:29:10,-35.1667,173.1667,52.5,86,4,6.04
209,Ipubi,BR,2021-09-24 15:29:11,-7.6519,-40.1489,88.48,37,45,11.86
210,Lago Da Pedra,BR,2021-09-24 15:29:12,-4.3333,-45.1667,97.38,34,39,6.49
211,San Quintin,MX,2021-09-24 15:29:12,30.4833,-115.95,69.22,81,24,8.25
212,Kieta,PG,2021-09-24 15:29:12,-6.2167,155.6333,77.99,84,100,4.52
213,Madang,PG,2021-09-24 15:29:13,-5.2246,145.7966,77.61,90,66,5.48
214,Dudinka,RU,2021-09-24 15:29:13,69.4058,86.1778,32.02,80,1,4.65
215,Barra Patuca,HN,2021-09-24 15:29:13,15.8,-84.2833,84.24,69,41,3.36
216,Gushikawa,JP,2021-09-24 15:29:14,26.3544,127.8686,79.83,83,1,6.91
217,Havre-Saint-Pierre,CA,2021-09-24 15:29:14,50.2334,-63.5986,55.99,67,90,8.05
218,Viedma,AR,2021-09-24 15:29:14,-40.8135,-62.9967,75.51,28,0,16.06
219,Arman,RU,2021-09-24 15:29:15,59.7,150.1667,44.17,75,7,3.6
220,Kirovskiy,RU,2021-09-24 15:29:15,45.0917,133.5136,47.79,83,18,2.64
221,Verkh-Usugli,RU,2021-09-24 15:29:15,52.7,115.1667,42.08,83,99,2.28
222,Narsaq,GL,2021-09-24 15:29:16,60.9167,-46.05,35.82,39,0,2.64
223,Slave Lake,CA,2021-09-24 15:29:16,55.2834,-114.769,35.58,80,90,5.75
224,San Patricio,US,2021-09-24 15:29:16,28.017,-97.5169,82.26,50,0,6.38
225,Esperance,AU,2021-09-24 15:29:17,-33.8667,121.9,46.24,76,10,9.57
226,Lavrentiya,RU,2021-09-24 15:29:17,65.5833,-171.0,32.4,85,100,21.23
227,Grindavik,IS,2021-09-24 15:29:18,63.8424,-22.4338,46.35,76,75,13.8
228,Hambantota,LK,2021-09-24 15:29:18,6.1241,81.1185,79.14,100,75,4.61
229,Crossville,US,2021-09-24 15:29:19,35.949,-85.0269,63.9,60,1,5.01
230,Hurricane,US,2021-09-24 15:29:19,37.1753,-113.2899,73.74,26,0,5.64
231,Matamoros,MX,2021-09-24 15:25:17,25.5333,-103.25,72.93,44,87,2.19
232,Cananeia,BR,2021-09-24 15:29:20,-25.0147,-47.9267,69.3,73,88,4.09
233,Alihe,CN,2021-09-24 15:29:20,50.5667,123.7167,50.68,97,100,2.59
234,Ginda,IN,2021-09-24 15:29:20,30.6945,78.4932,63.16,88,31,3.53
235,Chama,CH,2021-09-24 15:29:21,47.1821,8.4636,77.05,70,0,3.44
236,Lauenburg,DE,2021-09-24 15:29:21,53.372,10.5565,64.99,85,100,11.34
237,Anadyr,RU,2021-09-24 15:29:21,64.75,177.4833,23.5,85,40,8.01
238,Haines Junction,CA,2021-09-24 15:29:22,60.7522,-137.5108,37.35,93,91,6.91
239,Pouembout,NC,2021-09-24 15:29:22,-21.1333,164.9,67.08,74,100,5.95
240,Otane,NZ,2021-09-24 15:29:22,-39.8833,176.6333,46.0,94,2,2.62
241,Svetlaya,RU,2021-09-24 15:29:23,46.5389,138.3297,50.58,76,15,5.66
242,Bataipora,BR,2021-09-24 15:29:23,-22.2953,-53.2711,93.49,22,57,3.13
243,Pangnirtung,CA,2021-09-24 15:29:23,66.1451,-65.7125,35.6,60,20,11.5
244,Acara,BR,2021-09-24 15:29:24,-1.9608,-48.1967,93.63,42,34,5.21
245,Pisco,PE,2021-09-24 15:29:24,-13.7,-76.2167,64.02,88,20,10.36
246,Korla,CN,2021-09-24 15:29:24,41.7597,86.1469,71.85,28,1,10.16
247,Oranjemund,NA,2021-09-24 15:29:25,-28.55,16.4333,62.26,71,17,16.33
248,Morant Bay,JM,2021-09-24 15:29:25,17.8815,-76.4093,87.42,67,32,6.31
249,Karlshamn,SE,2021-09-24 15:29:25,56.1706,14.8619,59.92,78,91,12.71
250,Graham,US,2021-09-24 15:29:26,47.0529,-122.2943,56.05,96,90,0.0
251,Broome,US,2021-09-24 15:29:26,42.2506,-75.833,62.46,65,90,3.0
252,Ponta Do Sol,PT,2021-09-24 15:29:26,32.6667,-17.1,74.03,91,56,2.21
253,Akyab,MM,2021-09-24 15:29:27,20.15,92.9,80.29,88,100,9.57
254,Yumen,CN,2021-09-24 15:29:27,40.2833,97.2,69.94,22,2,4.52
255,Klaksvik,FO,2021-09-24 15:29:27,62.2266,-6.589,47.32,75,99,23.85
256,Lafia,NG,2021-09-24 15:29:28,8.4833,8.5167,78.17,84,99,3.42
257,Turan,VN,2021-09-24 15:29:28,16.0678,108.2208,80.65,83,40,1.14
258,Krasnoselkup,RU,2021-09-24 15:29:28,65.7,82.4667,32.72,82,31,10.13
259,Saint George,US,2021-09-24 15:29:29,37.1041,-113.5841,75.67,28,1,1.01
260,Aguimes,ES,2021-09-24 15:29:29,27.9054,-15.4461,76.66,63,40,17.27
261,Touros,BR,2021-09-24 15:29:29,-5.1989,-35.4608,90.5,57,5,19.73
262,Iqaluit,CA,2021-09-24 15:29:29,63.7506,-68.5145,31.73,80,90,11.99
263,Salalah,OM,2021-09-24 15:29:30,17.0151,54.0924,82.49,89,75,10.36
264,Fort Nelson,CA,2021-09-24 15:29:30,58.8053,-122.7002,38.79,81,75,4.61
265,Asfi,MA,2021-09-24 15:29:30,32.2994,-9.2372,70.86,67,0,10.07
266,Maunabo,PR,2021-09-24 15:29:31,18.0072,-65.8993,93.04,74,70,6.26
267,Port-Gentil,GA,2021-09-24 15:29:31,-0.7193,8.7815,76.96,94,90,3.44
268,Batagay,RU,2021-09-24 15:29:31,67.6333,134.6333,40.44,61,100,1.5
269,Luderitz,NA,2021-09-24 15:29:32,-26.6481,15.1594,71.19,50,15,21.12
270,Reftinskiy,RU,2021-09-24 15:29:32,57.0901,61.6769,54.0,66,100,4.47
271,Nikki,BJ,2021-09-24 15:29:32,9.9401,3.2108,81.9,78,89,4.81
272,Khao Yoi,TH,2021-09-24 15:29:33,13.2403,99.8243,78.91,92,100,2.17
273,Sirohi,IN,2021-09-24 15:29:33,24.8833,72.8667,80.67,77,59,3.87
274,Torbay,CA,2021-09-24 15:29:33,47.6666,-52.7314,55.27,74,75,13.8
275,Pandamatenga,BW,2021-09-24 15:29:34,-18.5278,25.627,87.26,19,0,7.25
276,Tatarsk,RU,2021-09-24 15:29:34,55.219,75.9828,45.46,78,100,12.55
277,Povenets,RU,2021-09-24 15:29:34,62.8487,34.8262,49.46,91,100,10.85
278,Qaqortoq,GL,2021-09-24 15:29:35,60.7167,-46.0333,36.1,48,1,0.74
279,Trincomalee,LK,2021-09-24 15:29:35,8.5711,81.2335,82.53,77,87,5.95
280,Sumbe,AO,2021-09-24 15:29:35,-11.2061,13.8437,77.11,72,4,6.49
281,Rawah,IQ,2021-09-24 15:29:36,34.4816,41.9093,83.55,32,0,2.62
282,Shinpokh,PK,2021-09-24 15:29:36,34.3292,71.1782,85.41,52,0,4.43
283,Mae Sai,TH,2021-09-24 15:29:36,20.4335,99.8762,76.32,92,65,2.8
284,Miura,JP,2021-09-24 15:29:37,35.14,139.6192,77.36,83,100,10.45
285,Minuri,PH,2021-09-24 15:29:37,16.535,121.8574,73.99,94,29,1.81
286,Turek,PL,2021-09-24 15:29:37,52.0155,18.5005,59.61,50,74,16.6
287,Karakulino,RU,2021-09-24 15:29:38,56.012,53.7067,46.94,80,100,12.33
288,Kushmurun,KZ,2021-09-24 15:29:38,52.4503,64.6311,48.33,40,42,8.68
